序号,公司/产品名,市场,类型,成立时间,创始人/团队,最新融资,核心产品(一句话),目标客户,重合度1-10,他们做了什么,他们缺什么,威胁等级,Layer1真实所见知识库,Layer2 Skills方法论,Layer3 Agent漏斗,信息置信度,关键观察
1,Delphi.ai,美国,直接竞品,2022,Dara Ladjevardian / Samuel Spelsberg (Miami),A轮$16M Sequoia领投(2025-06)种子$2.7M(2023-09),Digital Minds — 博主内容训练的文本/语音/视频 AI 克隆,作者/教练/顾问/演讲者/投资人/医生/影响者,9,多渠道部署+语音/视频通话+订阅制+付费聊天漏斗,弱切片矩阵/时间戳非营销核心/无明确Skills抽象/英文市场,高,中(有引用但非核心),弱,中,高,全球最强直接对标;Tyler Denk (Beehiiv CEO) 已在用;中文市场未触达
2,创客匠人(ckjr001),中国,直接竞品,~2014,11年SaaS老兵(50000+ IP客户),未披露近期融资 (成熟SaaS盈利),AI克隆老师+数字人直播+陪跑服务三位一体,知识付费IP+培训机构+创始人IP (B端导向),8,拥有教培行业渠道+语音克隆+数字人+AI答疑全栈,主打大IP/机构不做腰部/缺时间戳溯源/视频切片弱,高,弱,中,弱中,中,中国最大威胁——渠道+品牌+数字人栈已闭环;必须用"腰部博主+时间戳+切片"错位
3,硅基智能(Guiji),中国,相关竞品,2017,司马华鹏,D轮2亿RMB估值31.5亿(2025-05)IPO进程中,数字人直播+数字永生+语音克隆基础设施,政府/金融/电商/医疗B端+数字永生C端,5,数字人渲染与语音克隆底层;2024营收6.55亿RMB市占率32.2%,不做博主私域RAG+付费漏斗/不重时间戳,中,弱,无,无,高,冲IPO不会转向博主SaaS但一旦转就是降维打击
4,Coachvox AI,英国,直接竞品,2023,Jodie Cook (Forbes专栏作者),Bootstrap/小额天使 未披露机构轮,博主内容训练的AI教练克隆+订阅变现,商业教练/顾问,8,订阅变现模型($10-99/月)已跑通,缺视频ASR/切片/实时语音(弱于Delphi),中,中,弱,中,中,规模小但同wedge;直接参照
5,CommuniPass GuruAI,美国,直接竞品,~2023,未披露,Bootstrap/未披露,AI教练 trained on creator content (付费社群/挑战/高端tier),"$5k-$50k/月教练"(同MeBotAI ICP区间),8,完整订阅+付费社群+24/7 Q&A漏斗,弱切片分发/弱视频原生,中高,中,弱,中高,中,最接近MeBotAI的海外同构之一
6,Personify.fyi,美国,直接竞品,未披露,未披露,未披露,Done-for-you AI教练克隆(97%语音准确率+14天部署),商业教练,7,服务型部署+高语音准确率,代做服务模式不是自助SaaS,中低,中,弱,中,低,服务公司不是平台
7,Tyler Denk's DenkBot (on Delphi),美国,直接竞品(案例),2026-Q1,Tyler Denk (Beehiiv CEO),基于Delphi,Beehiiv CEO的Delphi克隆版(Inc杂志报道),Beehiiv订阅读者,8,证明Delphi对有存量粉丝的创作者可用,是Delphi案例不是独立产品,低,随Delphi,随Delphi,中,高,说明"博主+订阅+AI克隆"路径已跑通
8,MindBank AI,美国,直接竞品,未披露,未披露,未披露,2分钟 onboarding+个性化LLM+可变现孪生(legacy/知识焦点),个人用户+legacy,7,快速上手,更个人/legacy向不是创作者漏斗,中低,中,弱,中,中,方向偏"数字永生"弱变现漏斗
9,TwinTone AI,海外,直接竞品,未披露,未披露,未披露,创作者AI Twin+24/7多语言粉丝互动(视频通话+直播)+订阅+区块链IP,创作者(粉丝经济向),7,粉丝互动+多语言+订阅+区块链IP所有权,弱知识/methodology/切片,中,弱,弱,中,低,偏fan engagement不偏knowledge
10,Twin Protocol,海外,直接竞品(Web3),未披露,未披露,未披露,区块链AI Twin市场+专家服务,领域专家,6,Web3市场+专家服务变现,Web3模型不适合中国,低,弱,弱,中,低,不同商业模式
11,Sensay,海外,相关竞品,未披露,未披露,未披露,企业员工/专家知识捕获(AI语音访谈+文件ingest),企业知识管理,5,知识访谈捕获,偏企业不偏创作者变现,低,中,弱,弱,中,企业知识向不同ICP
12,Fanvue,海外,相关竞品,未披露,未披露,未披露,创作者订阅平台+AI创作者支持+AI粉丝回复助手,虚拟/成人创作者,5,已支持AI创作者+订阅变现,偏成人/虚拟不是知识创作者,低,无,无,中,中,不同垂直但验证AI+订阅可行
13,Rocky.ai,海外,间接竞品,未披露,未披露,未披露,企业级多Agent AI教练平台(白牌),企业,5,多Agent+白牌,企业向不是创作者向,低,无,中,中,中,企业向
14,Character.AI,美国,间接竞品,2021,Noam Shazeer/Daniel De Freitas,已融数亿美元,AI角色扮演+陪伴(100M+ MAU无创作者分成),C端用户(角色创作者和消费者),3,100M+用户+ c.ai+订阅$9.99/月 2025营收$50M,不给创作者分成(战略缺口),低(暂时),弱,弱,无,高,"无创作者分成"是全球最大未变现AI创作者市场;一旦转向就是冲击
15,HeyGen,美国,相关竞品,2020,Joshua Xu,$69M+ ARR报$100M+,AI数字人视频生成+LiveAvatar实时互动+Video Agent,企业营销/L&D/创作者,6,"Video Agent"全链路(脚本+头像+配音+剪辑+分发),企业向无创作者paywall SKU,中高,无,弱,中,高,一旦加创作者paywall SKU就变直接竞品
